query,intent,topic
What is variables?,Explanation,Python
Explain variables.,Explanation,Python
Can you explain variables?,Explanation,Python
Give an example of variables.,Example,Python
Show an example of variables.,Example,Python
How is variables used? Give an example.,Example,Python
I don't understand variables.,Doubt,Python
variables is confusing.,Doubt,Python
Please revise variables.,Revision,Python
Help me revise variables.,Revision,Python
What is data types?,Explanation,Python
Explain data types.,Explanation,Python
Can you explain data types?,Explanation,Python
Give an example of data types.,Example,Python
Show an example of data types.,Example,Python
How is data types used? Give an example.,Example,Python
I don't understand data types.,Doubt,Python
data types is confusing.,Doubt,Python
Please revise data types.,Revision,Python
Help me revise data types.,Revision,Python
What is lists?,Explanation,Python
Explain lists.,Explanation,Python
Can you explain lists?,Explanation,Python
Give an example of lists.,Example,Python
Show an example of lists.,Example,Python
How is lists used? Give an example.,Example,Python
I don't understand lists.,Doubt,Python
lists is confusing.,Doubt,Python
Please revise lists.,Revision,Python
Help me revise lists.,Revision,Python
What is tuples?,Explanation,Python
Explain tuples.,Explanation,Python
Can you explain tuples?,Explanation,Python
Give an example of tuples.,Example,Python
Show an example of tuples.,Example,Python
How is tuples used? Give an example.,Example,Python
I don't understand tuples.,Doubt,Python
tuples is confusing.,Doubt,Python
Please revise tuples.,Revision,Python
Help me revise tuples.,Revision,Python
What is dictionaries?,Explanation,Python
Explain dictionaries.,Explanation,Python
Can you explain dictionaries?,Explanation,Python
Give an example of dictionaries.,Example,Python
Show an example of dictionaries.,Example,Python
How is dictionaries used? Give an example.,Example,Python
I don't understand dictionaries.,Doubt,Python
dictionaries is confusing.,Doubt,Python
Please revise dictionaries.,Revision,Python
Help me revise dictionaries.,Revision,Python
What is sets?,Explanation,Python
Explain sets.,Explanation,Python
Can you explain sets?,Explanation,Python
Give an example of sets.,Example,Python
Show an example of sets.,Example,Python
How is sets used? Give an example.,Example,Python
I don't understand sets.,Doubt,Python
sets is confusing.,Doubt,Python
Please revise sets.,Revision,Python
Help me revise sets.,Revision,Python
What is loops?,Explanation,Python
Explain loops.,Explanation,Python
Can you explain loops?,Explanation,Python
Give an example of loops.,Example,Python
Show an example of loops.,Example,Python
How is loops used? Give an example.,Example,Python
I don't understand loops.,Doubt,Python
loops is confusing.,Doubt,Python
Please revise loops.,Revision,Python
Help me revise loops.,Revision,Python
What is functions?,Explanation,Python
Explain functions.,Explanation,Python
Can you explain functions?,Explanation,Python
Give an example of functions.,Example,Python
Show an example of functions.,Example,Python
How is functions used? Give an example.,Example,Python
I don't understand functions.,Doubt,Python
functions is confusing.,Doubt,Python
Please revise functions.,Revision,Python
Help me revise functions.,Revision,Python
What is classes?,Explanation,Python
Explain classes.,Explanation,Python
Can you explain classes?,Explanation,Python
Give an example of classes.,Example,Python
Show an example of classes.,Example,Python
How is classes used? Give an example.,Example,Python
I don't understand classes.,Doubt,Python
classes is confusing.,Doubt,Python
Please revise classes.,Revision,Python
Help me revise classes.,Revision,Python
What is exceptions?,Explanation,Python
Explain exceptions.,Explanation,Python
Can you explain exceptions?,Explanation,Python
Give an example of exceptions.,Example,Python
Show an example of exceptions.,Example,Python
How is exceptions used? Give an example.,Example,Python
I don't understand exceptions.,Doubt,Python
exceptions is confusing.,Doubt,Python
Please revise exceptions.,Revision,Python
Help me revise exceptions.,Revision,Python
What is file handling?,Explanation,Python
Explain file handling.,Explanation,Python
Can you explain file handling?,Explanation,Python
Give an example of file handling.,Example,Python
Show an example of file handling.,Example,Python
How is file handling used? Give an example.,Example,Python
I don't understand file handling.,Doubt,Python
file handling is confusing.,Doubt,Python
Please revise file handling.,Revision,Python
Help me revise file handling.,Revision,Python
What is modules?,Explanation,Python
Explain modules.,Explanation,Python
Can you explain modules?,Explanation,Python
Give an example of modules.,Example,Python
Show an example of modules.,Example,Python
How is modules used? Give an example.,Example,Python
I don't understand modules.,Doubt,Python
modules is confusing.,Doubt,Python
Please revise modules.,Revision,Python
Help me revise modules.,Revision,Python
What is packages?,Explanation,Python
Explain packages.,Explanation,Python
Can you explain packages?,Explanation,Python
Give an example of packages.,Example,Python
Show an example of packages.,Example,Python
How is packages used? Give an example.,Example,Python
I don't understand packages.,Doubt,Python
packages is confusing.,Doubt,Python
Please revise packages.,Revision,Python
Help me revise packages.,Revision,Python
What is arrays?,Explanation,DSA
Explain arrays.,Explanation,DSA
Can you explain arrays?,Explanation,DSA
Give an example of arrays.,Example,DSA
Show an example of arrays.,Example,DSA
How is arrays used? Give an example.,Example,DSA
I don't understand arrays.,Doubt,DSA
arrays is confusing.,Doubt,DSA
Please revise arrays.,Revision,DSA
Help me revise arrays.,Revision,DSA
What is linked lists?,Explanation,DSA
Explain linked lists.,Explanation,DSA
Can you explain linked lists?,Explanation,DSA
Give an example of linked lists.,Example,DSA
Show an example of linked lists.,Example,DSA
How is linked lists used? Give an example.,Example,DSA
I don't understand linked lists.,Doubt,DSA
linked lists is confusing.,Doubt,DSA
Please revise linked lists.,Revision,DSA
Help me revise linked lists.,Revision,DSA
What is stacks?,Explanation,DSA
Explain stacks.,Explanation,DSA
Can you explain stacks?,Explanation,DSA
Give an example of stacks.,Example,DSA
Show an example of stacks.,Example,DSA
How is stacks used? Give an example.,Example,DSA
I don't understand stacks.,Doubt,DSA
stacks is confusing.,Doubt,DSA
Please revise stacks.,Revision,DSA
Help me revise stacks.,Revision,DSA
What is queues?,Explanation,DSA
Explain queues.,Explanation,DSA
Can you explain queues?,Explanation,DSA
Give an example of queues.,Example,DSA
Show an example of queues.,Example,DSA
How is queues used? Give an example.,Example,DSA
I don't understand queues.,Doubt,DSA
queues is confusing.,Doubt,DSA
Please revise queues.,Revision,DSA
Help me revise queues.,Revision,DSA
What is trees?,Explanation,DSA
Explain trees.,Explanation,DSA
Can you explain trees?,Explanation,DSA
Give an example of trees.,Example,DSA
Show an example of trees.,Example,DSA
How is trees used? Give an example.,Example,DSA
